"Country","Site","Season","Date","Time","Time_per","age","sex","sun_shade","tair","tglobe","wind_sp","rh","mrt","clo","met_rate","heat","reas.there","loc_inha","nationality_group"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,6,1,0,29.28,31.46,0.55,53.29,36.79,0.3,52.2,1,"Pleasure",1,"European"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,6,1,0,29.28,31.46,0.55,53.29,36.79,0.5,52.2,1,"Pleasure",1,"European"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,5,2,0,28.89,29.97,0.46,56.88,32.46,0.45,58,1,"Family",0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,5,2,0,28.89,29.97,0.46,56.88,32.46,0.45,58,1,"Pleasure",0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,4,2,0,28.66,29.55,0.59,54.39,31.89,0.4,58,-1,"Pleasure",0,"Asian"
"Greece","Athens",1,2001-07-26 22:00:00,10,1,4,2,0,28.84,29.95,0.61,54,32.96,0.6,58,-1,"Work",1,"European"
"Greece","Athens",1,2001-07-26 22:00:00,11,1,4,2,0,29.79,31.04,0.77,48.19,34.85,0.6,58,0,"Rest",1,"North American"
"Greece","Athens",1,2001-07-26 22:00:00,11,1,8,1,0,30.31,31.62,0.83,48.22,35.67,0.7,58,1,"Rest",0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,4,1,0,30.43,31.82,0.42,49.45,34.72,0.3,52.2,2,NA,0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,4,2,0,30.43,31.82,0.42,49.45,34.72,0.3,52.2,1,NA,0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,5,1,0,30.45,32.02,0.41,46.43,35.08,0.6,58,1,"Rest",1,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,4,2,0,30.86,33.37,0.52,48.23,38.92,0.6,52.2,2,"Pleasure",0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,4,1,0,31.24,33.43,0.33,44.76,37.31,0.6,52.2,0,"Pleasure",0,"European"
"Greece","Athens",1,2001-07-26 22:00:00,12,2,1,1,0,31.24,33.43,0.33,44.76,37.31,0.3,52.2,1,"Pleasure",0,"European"
